Pays,Population totale,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité intérieure,Importations - Quantité,Exportations - Quantité,Nourriture,Production,Pertes,Traitement,Ratio importations / (importations + production - pertes - exportations),Importations - (exportations - production),Ratio pertes / production
Paraguay,6867061,22.0,1.8,1.61,5.99,41.0,1.0,4.0,41.0,45.0,0.0,0.0,0.023809523809523808,42.0,0.0
Pays-Bas,17021347,70.0,8.48,3.74,20.33,372.0,608.0,1418.0,346.0,1100.0,0.0,104.0,2.0965517241379312,290.0,0.0
Pérou,31444298,62.0,6.71,3.72,13.47,1523.0,60.0,1.0,424.0,1465.0,316.0,0.0,0.04966887417218543,1524.0,0.21569965870307167
Philippines,105172925,48.0,4.65,3.11,13.87,1521.0,249.0,2.0,1459.0,1272.0,62.0,0.0,0.17089910775566233,1519.0,0.04874213836477988
Pologne,37953180,107.0,12.14,6.18,30.3,1156.0,55.0,1025.0,1150.0,2351.0,27.0,38.0,0.04062038404726736,1381.0,0.011484474691620587
Polynésie française,276102,167.0,16.2,10.86,47.4,15.0,15.0,0.0,13.0,1.0,0.0,0.0,0.9375,16.0,0.0
Portugal,10288527,109.0,12.74,6.02,30.58,325.0,82.0,44.0,315.0,361.0,0.0,1.0,0.20551378446115287,399.0,0.0
République centrafricaine,4596023,8.0,0.78,0.48,2.29,11.0,4.0,0.0,11.0,7.0,0.0,0.0,0.36363636363636365,11.0,0.0
République de Corée,51096415,62.0,5.68,4.21,16.7,854.0,137.0,6.0,854.0,838.0,0.0,0.0,0.14138286893704852,969.0,0.0
République de Moldova,4059684,55.0,5.53,3.46,16.14,66.0,16.0,0.0,66.0,54.0,0.0,0.0,0.22857142857142856,70.0,0.0
République démocratique populaire lao,6953035,41.0,3.59,2.81,10.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
République dominicaine,10513104,123.0,10.88,8.46,35.26,375.0,42.0,6.0,371.0,339.0,0.0,0.0,0.112,375.0,0.0
République populaire démocratique de Corée,25429825,8.0,0.49,0.63,1.62,43.0,0.0,0.0,41.0,43.0,1.0,0.0,0.0,43.0,0.023255813953488372
République-Unie de Tanzanie,54660339,6.0,0.63,0.41,1.88,108.0,2.0,0.0,103.0,105.0,5.0,0.0,0.0196078431372549,107.0,0.047619047619047616
Roumanie,19653969,66.0,7.91,3.65,19.37,381.0,146.0,69.0,381.0,392.0,0.0,0.0,0.31130063965884863,469.0,0.0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,66727460,120.0,13.77,6.74,31.94,2234.0,779.0,359.0,2131.0,1814.0,0.0,102.0,0.3487018800358102,2234.0,0.0
Rwanda,11980961,5.0,0.5,0.31,1.49,19.0,0.0,0.0,18.0,19.0,1.0,0.0,0.0,19.0,0.05263157894736842
Sainte-Lucie,180954,241.0,19.0,17.86,56.69,11.0,10.0,0.0,10.0,1.0,0.0,0.0,0.9090909090909091,11.0,0.0
Saint-Kitts-et-Nevis,52045,190.0,19.22,11.91,55.77,4.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0
Saint-Vincent-et-les Grenadines,109827,243.0,25.1,15.06,72.31,8.0,9.0,0.0,8.0,0.0,0.0,0.0,1.0,9.0,0.0
Samoa,195352,217.0,21.88,13.68,64.77,15.0,17.0,0.0,13.0,0.0,0.0,0.0,1.0,17.0,0.0
Sao Tomé-et-Principe,207089,33.0,3.21,2.1,9.47,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,3.0,0.0
Sénégal,15419355,16.0,1.61,1.0,4.76,77.0,0.0,0.0,73.0,77.0,4.0,0.0,0.0,77.0,0.05194805194805195
Serbie,8829628,35.0,3.5,2.24,10.16,90.0,12.0,7.0,90.0,85.0,0.0,0.0,0.13333333333333333,90.0,0.0
Sierra Leone,7488423,10.0,1.24,0.52,3.97,30.0,14.0,0.0,30.0,17.0,1.0,0.0,0.4666666666666667,31.0,0.058823529411764705
Slovaquie,5447900,48.0,4.74,3.04,13.9,74.0,63.0,35.0,76.0,71.0,0.0,5.0,0.6363636363636364,99.0,0.0
Slovénie,2076393,83.0,8.72,5.05,24.41,52.0,20.0,29.0,51.0,72.0,0.0,2.0,0.31746031746031744,63.0,0.0
Soudan,40813397,5.0,0.54,0.34,1.6,69.0,2.0,0.0,65.0,67.0,3.0,0.0,0.030303030303030304,69.0,0.04477611940298507
Sri Lanka,21128032,26.0,2.64,1.64,7.78,192.0,0.0,2.0,164.0,192.0,10.0,18.0,0.0,190.0,0.052083333333333336
Suède,9904896,61.0,7.09,3.39,16.6,187.0,84.0,23.0,164.0,157.0,0.0,59.0,0.3853211009174312,218.0,0.0
Suisse,8455804,55.0,6.49,3.07,15.72,133.0,51.0,4.0,133.0,91.0,0.0,0.0,0.3695652173913043,138.0,0.0
Suriname,570496,112.0,9.27,7.97,31.06,25.0,18.0,5.0,18.0,10.0,0.0,0.0,0.782608695652174,23.0,0.0
Tadjikistan,8880268,18.0,1.45,1.31,4.45,40.0,38.0,0.0,39.0,2.0,0.0,0.0,0.95,40.0,0.0
Tchad,15016753,2.0,0.15,0.1,0.45,7.0,1.0,0.0,7.0,6.0,0.0,0.0,0.14285714285714285,7.0,0.0
Tchéquie,10641034,82.0,7.5,5.49,21.96,249.0,116.0,27.0,234.0,163.0,0.0,15.0,0.4603174603174603,252.0,0.0
Thaïlande,69209810,47.0,4.35,3.19,12.95,881.0,2.0,796.0,896.0,1676.0,32.0,0.0,0.002352941176470588,882.0,0.01909307875894988
Timor-Leste,1243258,14.0,1.46,0.9,4.24,5.0,11.0,0.0,5.0,1.0,0.0,0.0,0.9166666666666666,12.0,0.0
Togo,7698474,24.0,2.39,1.49,7.06,54.0,16.0,0.0,54.0,40.0,0.0,0.0,0.2857142857142857,56.0,0.0
Trinité-et-Tobago,1384059,189.0,16.63,13.05,54.54,76.0,23.0,0.0,75.0,61.0,0.0,0.0,0.27380952380952384,84.0,0.0
Tunisie,11433443,57.0,6.28,3.39,17.03,195.0,0.0,4.0,195.0,213.0,0.0,0.0,0.0,209.0,0.0
Turkménistan,5757667,15.0,1.53,0.95,4.52,27.0,9.0,0.0,26.0,20.0,1.0,0.0,0.32142857142857145,29.0,0.05
Turquie,81116450,71.0,6.99,4.5,20.64,1674.0,3.0,429.0,1674.0,2192.0,0.0,0.0,0.0016987542468856172,1766.0,0.0
Ukraine,44487709,78.0,7.58,5.11,22.62,1009.0,121.0,273.0,1006.0,1211.0,0.0,3.0,0.11425873465533522,1059.0,0.0
Uruguay,3436641,33.0,2.97,2.23,9.12,33.0,3.0,3.0,31.0,33.0,0.0,2.0,0.09090909090909091,33.0,0.0
Vanuatu,285510,40.0,4.05,2.48,11.66,3.0,4.0,0.0,3.0,1.0,0.0,0.0,0.8,5.0,0.0
Venezuela (République bolivarienne du),29402484,71.0,7.23,4.39,20.28,626.0,25.0,0.0,596.0,600.0,30.0,0.0,0.04201680672268908,625.0,0.05
Viet Nam,94600648,48.0,4.01,3.4,12.33,1206.0,291.0,1.0,1166.0,918.0,39.0,0.0,0.24893071000855432,1208.0,0.042483660130718956
Yémen,27834819,30.0,3.04,1.85,8.53,246.0,78.0,0.0,237.0,168.0,8.0,0.0,0.3277310924369748,246.0,0.047619047619047616
Zambie,16853599,11.0,1.15,0.72,3.42,60.0,12.0,1.0,58.0,49.0,2.0,0.0,0.20689655172413793,60.0,0.04081632653061224
Zimbabwe,14236595,16.0,1.59,0.99,4.68,76.0,6.0,0.0,67.0,69.0,3.0,6.0,0.08333333333333333,75.0,0.043478260869565216
